model,image_file,price_from_rub
1-1,images/model-1-1.svg,6115
1-2,images/model-1-2.svg,6115
1-3,images/model-1-3.svg,6115
1-4,images/model-1-4.svg,12899
1-5,images/model-1-5.svg,6115
1-6,images/model-1-6.svg,7376
1-7,images/model-1-7.svg,9593
1-8,images/model-1-8.svg,9593
1-9,images/model-1-9.svg,9593
1-10,images/model-1-10.svg,9593
1-11,images/model-1-11.svg,9593
1-12,images/model-1-12.svg,9593
1-13,images/model-1-13.svg,9593
1-14,images/model-1-14.svg,12899
1-15,images/model-1-15.svg,16844
1-16,images/model-1-16.svg,16844
1-17,images/model-1-17.svg,12899
