model,image_file,height_mm,width_mm,thickness_mm,mass_kg,price_rub
1-1,images/model-1-1.svg,800,400,50,51.2,6115
1-1,images/model-1-1.svg,1000,500,50,80.0,9902
1-1,images/model-1-1.svg,1200,600,70,161.28,18506
1-1,images/model-1-1.svg,1200,600,80,184.32,20760
1-2,images/model-1-2.svg,800,400,50,51.2,6115
1-2,images/model-1-2.svg,1000,500,50,80.0,9902
1-2,images/model-1-2.svg,1200,600,70,161.28,18506
1-2,images/model-1-2.svg,1200,600,80,184.32,20760
1-3,images/model-1-3.svg,800,400,50,51.2,6115
1-3,images/model-1-3.svg,1000,500,50,80.0,9902
1-3,images/model-1-3.svg,1200,600,70,161.28,18506
1-3,images/model-1-3.svg,1200,600,80,184.32,20760
1-4,images/model-1-4.svg,900,450,50,64.8,12899
1-4,images/model-1-4.svg,1000,500,50,80.0,16716
1-4,images/model-1-4.svg,1200,600,70,161.28,28228
1-4,images/model-1-4.svg,1200,600,80,184.32,31394
1-5,images/model-1-5.svg,800,400,50,51.2,6115
1-5,images/model-1-5.svg,1000,500,50,80.0,9902
1-5,images/model-1-5.svg,1200,600,70,161.28,18506
1-5,images/model-1-5.svg,1200,600,80,184.32,20760
1-6,images/model-1-6.svg,800,400,50,51.2,7376
1-6,images/model-1-6.svg,1000,500,50,80.0,10853
1-6,images/model-1-6.svg,1200,600,70,161.28,20121
1-6,images/model-1-6.svg,1200,600,80,184.32,22611
1-7,images/model-1-7.svg,800,400,50,51.2,9593
1-7,images/model-1-7.svg,1000,500,50,80.0,13626
1-7,images/model-1-7.svg,1200,600,70,161.28,24796
1-7,images/model-1-7.svg,1200,600,80,184.32,27402
1-8,images/model-1-8.svg,800,400,50,51.2,9593
1-8,images/model-1-8.svg,1000,500,50,80.0,13626
1-8,images/model-1-8.svg,1200,600,70,161.28,24796
1-8,images/model-1-8.svg,1200,600,80,184.32,27402
1-9,images/model-1-9.svg,800,400,50,51.2,9593
1-9,images/model-1-9.svg,1000,500,50,80.0,13626
1-9,images/model-1-9.svg,1200,600,70,161.28,24796
1-9,images/model-1-9.svg,1200,600,80,184.32,27402
1-10,images/model-1-10.svg,800,400,50,51.2,9593
1-10,images/model-1-10.svg,1000,500,50,80.0,13626
1-10,images/model-1-10.svg,1200,600,70,161.28,24796
1-10,images/model-1-10.svg,1200,600,80,184.32,27402
1-11,images/model-1-11.svg,800,400,50,51.2,9593
1-11,images/model-1-11.svg,1000,500,50,80.0,13626
1-11,images/model-1-11.svg,1200,600,70,161.28,24796
1-11,images/model-1-11.svg,1200,600,80,184.32,27402
1-12,images/model-1-12.svg,800,400,50,51.2,9593
1-12,images/model-1-12.svg,1000,500,50,80.0,13626
1-12,images/model-1-12.svg,1200,600,70,161.28,24796
1-12,images/model-1-12.svg,1200,600,80,184.32,27402
1-13,images/model-1-13.svg,800,400,50,51.2,9593
1-13,images/model-1-13.svg,1000,500,50,80.0,13626
1-13,images/model-1-13.svg,1200,600,70,161.28,24796
1-13,images/model-1-13.svg,1200,600,80,184.32,27402
1-14,images/model-1-14.svg,900,450,50,64.8,12899
1-14,images/model-1-14.svg,1000,500,50,80.0,16716
1-14,images/model-1-14.svg,1200,600,70,161.28,28228
1-14,images/model-1-14.svg,1200,600,80,184.32,31394
1-15,images/model-1-15.svg,800,400,50,51.2,16844
1-15,images/model-1-15.svg,1000,500,50,80.0,21176
1-15,images/model-1-15.svg,1200,600,70,161.28,33374
1-15,images/model-1-15.svg,1200,600,80,184.32,36542
1-16,images/model-1-16.svg,800,400,50,51.2,16844
1-16,images/model-1-16.svg,1000,500,50,80.0,21176
1-16,images/model-1-16.svg,1200,600,70,161.28,33374
1-16,images/model-1-16.svg,1200,600,80,184.32,36542
1-17,images/model-1-17.svg,900,450,50,64.8,12899
1-17,images/model-1-17.svg,1000,500,50,80.0,16716
1-17,images/model-1-17.svg,1200,600,70,161.28,28228
1-17,images/model-1-17.svg,1200,600,80,184.32,31394
